,day_of_year,sin_year,cos_year
281,282,-0.989932495087353,0.141540295217043
282,283,-0.9873494423939864,0.15855938510313475
283,284,-0.9844738167520923,0.17553149042142777
284,285,-0.9813064702716093,0.19245158197082995
285,286,-0.9778483415056569,0.209314645963048
286,287,-0.9741004551724206,0.22611568550828803
287,288,-0.9700639218515072,0.24284972209593494
288,289,-0.965739937654855,0.25951179706979943
289,290,-0.961129783872301,0.276096973097468
290,291,-0.9562348265919058,0.2926003356333479
291,292,-0.9510565162951536,0.30901699437494723
292,293,-0.9455963874271425,0.32534208471198034
293,294,-0.9398560579418956,0.34157076916785517
294,295,-0.9338372288229252,0.35769823883312546
295,296,-0.9275416835791969,0.3737197147904684
296,297,-0.9209712877166347,0.38963044953078774
297,298,-0.9141279881853341,0.4054257283599965
298,299,-0.9070138128026362,0.42110087079608916
299,300,-0.8996308696522438,0.43665123195606304
300,301,-0.8919813464595484,0.4520722039323045
301,302,-0.8840675099433637,0.46735921715800205
302,303,-0.875891705144243,0.4825077417612184
303,304,-0.8674563547295971,0.4975132889071803
304,305,-0.858763958275803,0.5123714121284235
305,306,-0.8498170915275282,0.5270777086423716
306,307,-0.8406184056344783,0.5416278206559811
307,308,-0.8311706263658084,0.5560174366570438
308,309,-0.8214765533024145,0.5702422926917867
309,310,-0.8115390590073611,0.5842981736283683
310,311,-0.8013610881746764,0.5981809144059166
311,312,-0.7909456567567774,0.6118864012687242
312,313,-0.7802958510707755,0.6254105729852464
313,314,-0.7694148268839381,0.6387494220515268
314,315,-0.7583058084785625,0.6518989958787125
315,316,-0.7469720876965558,0.6648553979642859
316,317,-0.7354170229639858,0.6776147890466887
317,318,-0.723644038295913,0.6901733882429714
318,319,-0.711656622281775,0.7025274741691566
319,320,-0.6994583270516471,0.7146733860429608
320,321,-0.6870527672236668,0.7266075247685657
321,322,-0.6744436188329457,0.7383263540031063
322,323,-0.6616346182422783,0.7498264012045686
323,324,-0.6486295610349818,0.7611042586607742
324,325,-0.6354323008901775,0.7721565844991641
325,326,-0.622046748440868,0.7829801036770624
326,327,-0.6084768701151264,0.7935716089521472
327,328,-0.5947266869607633,0.8039279618328213
328,329,-0.5808002734538013,0.8140460935082175
329,330,-0.5667017562911177,0.8239230057575542
330,331,-0.5524353131676195,0.83355577183857
331,332,-0.5380051715383,0.8429415373547827
332,333,-0.5234156073655503,0.8520775211013093
333,334,-0.5086709438521049,0.8609610158889941
334,335,-0.49377555015997737,0.8695893893466109
335,336,-0.47873384011578907,0.8779600847008878
336,337,-0.4635502709028512,0.8860706215341378
337,338,-0.4482293417404106,0.893918596519257
338,339,-0.4327755925504317,0.9015016841318838
339,340,-0.41719360261231697,0.9088176373395028
340,341,-0.4014879892059729,0.9158642882672872
341,342,-0.38566340624360745,0.9226395488404875
342,343,-0.3697245428906732,0.9291414114031743
343,344,-0.3536761221763721,0.935367949313148
344,345,-0.33752289959411347,0.941317317512847
345,346,-0.32126966169236515,0.9469877530760751
346,347,-0.3049212246562894,0.9523775757303973
347,348,-0.288482432880609,0.9574851883550393
348,349,-0.27195815753410607,0.9623090774541485
349,350,-0.2553532951161872,0.9668478136052775
350,351,-0.23867276600594997,0.9711000518829505
351,352,-0.22192151300416588,0.9750645322571947
352,353,-0.20510449986861926,0.9787400799669153
353,354,-0.1882267098432448,0.9821256058680005
354,355,-0.1712931441814778,0.9852201067560606
355,356,-0.154308820664281,0.9880226656636976
356,357,-0.13727877211326517,0.9905324521322227
357,358,-0.12020804489935275,0.9927487224577402
358,359,-0.10310169744743544,0.9946708199115211
359,360,-0.0859647987374467,0.9962981749346077
360,361,-0.06880242680231975,0.9976303053065857
361,362,-0.05161966722325418,0.9986668162884759
362,363,-0.034421611622745804,0.9994074007397048
363,364,-0.01721335615583528,0.9998518392091162
364,365,-2.4492935982947064e-16,1.0
